image,model,gt_count,pred_count,true_positives,false_negatives,false_positives,splits,merges,precision,recall,f1_score,PQ,RQ,SQ
cell_00021.tiff,nnunet,34,24,8,26,16,0,4,0.3333333333333333,0.23529411764705882,0.27586206896551724,0.18851138805520945,0.27586206896551724,0.6833537817001343
cell_00021.tiff,sac,34,127,1,33,126,0,1,0.007874015748031496,0.029411764705882353,0.012422360248447204,0.0065035871837450104,0.012422360248447204,0.5235387682914734
cell_00021.tiff,lstmunet,34,65,21,13,44,0,1,0.3230769230769231,0.6176470588235294,0.42424242424242425,0.3035824985215158,0.42424242424242425,0.715587317943573
cell_00021.tiff,maunet_resnet50,34,36,25,9,11,0,0,0.6944444444444444,0.7352941176470589,0.7142857142857144,0.5077811224120004,0.7142857142857143,0.7108935713768005
cell_00021.tiff,maunet_wide,34,44,22,12,22,0,0,0.5,0.6470588235294118,0.5641025641025642,0.44860942241473073,0.5641025641025641,0.7952621579170227
cell_00021.tiff,maunet_ensemble,34,27,25,9,2,0,1,0.9259259259259259,0.7352941176470589,0.819672131147541,0.6244769350427096,0.819672131147541,0.7618618607521057
cell_00022.tiff,unet,29,29,5,24,24,0,4,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.14455641138142553,0.1724137931034483,0.8384271860122681
cell_00022.tiff,nnunet,29,26,8,21,18,0,4,0.3076923076923077,0.27586206896551724,0.29090909090909095,0.22743384621360085,0.2909090909090909,0.7818038463592529
cell_00022.tiff,sac,29,126,3,26,123,0,0,0.023809523809523808,0.10344827586206896,0.038709677419354833,0.023168390797030543,0.03870967741935484,0.5985167622566223
cell_00022.tiff,lstmunet,29,47,15,14,32,0,5,0.3191489361702128,0.5172413793103449,0.39473684210526316,0.2948394260908428,0.39473684210526316,0.7469265460968018
cell_00022.tiff,maunet_resnet50,29,30,20,9,10,0,1,0.6666666666666666,0.6896551724137931,0.6779661016949153,0.5415070258964926,0.6779661016949152,0.7987228631973267
cell_00022.tiff,maunet_wide,29,43,21,8,22,0,1,0.4883720930232558,0.7241379310344828,0.5833333333333334,0.49447435140609747,0.5833333333333334,0.847670316696167
cell_00022.tiff,maunet_ensemble,29,23,22,7,1,0,3,0.9565217391304348,0.7586206896551724,0.8461538461538461,0.661518816764538,0.8461538461538461,0.7817949652671814
cell_00023.tiff,unet,43,35,10,33,25,0,2,0.2857142857142857,0.23255813953488372,0.2564102564102564,0.18358378838270137,0.2564102564102564,0.7159767746925354
cell_00023.tiff,nnunet,43,50,16,27,34,0,3,0.32,0.37209302325581395,0.3440860215053763,0.2515277862548828,0.34408602150537637,0.7310026288032532
cell_00023.tiff,sac,43,141,1,42,140,0,2,0.0070921985815602835,0.023255813953488372,0.010869565217391304,0.006061556546584419,0.010869565217391304,0.5576632022857666
cell_00023.tiff,lstmunet,43,88,25,18,63,1,1,0.2840909090909091,0.5813953488372093,0.3816793893129771,0.26420925864736544,0.3816793893129771,0.6922282576560974
cell_00023.tiff,maunet_resnet50,43,57,20,23,37,1,0,0.3508771929824561,0.46511627906976744,0.4,0.2772192478179932,0.4,0.6930481195449829
cell_00023.tiff,maunet_wide,43,61,35,8,26,0,0,0.5737704918032787,0.813953488372093,0.673076923076923,0.499165585407844,0.6730769230769231,0.7416174411773682
cell_00023.tiff,maunet_ensemble,43,33,29,14,4,0,0,0.8787878787878788,0.6744186046511628,0.7631578947368421,0.5759651378581399,0.7631578947368421,0.7547129392623901
cell_00024.tiff,unet,24,26,5,19,21,0,0,0.19230769230769232,0.20833333333333334,0.2,0.14450197219848634,0.2,0.7225098609924316
cell_00024.tiff,nnunet,24,19,10,14,9,0,2,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.362646690634794,0.46511627906976744,0.7796903848648071
cell_00024.tiff,sac,24,136,0,24,136,0,2,0.0,0.0,0.0,0.0,0.0,0.0
cell_00024.tiff,lstmunet,24,48,13,11,35,0,2,0.2708333333333333,0.5416666666666666,0.36111111111111105,0.23979012336995867,0.3611111111111111,0.6640341877937317
cell_00024.tiff,maunet_resnet50,24,28,16,8,12,0,0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.4418036387516902,0.6153846153846154,0.7179309129714966
cell_00024.tiff,maunet_wide,24,43,14,10,29,0,1,0.32558139534883723,0.5833333333333334,0.41791044776119407,0.31881222084387023,0.417910447761194,0.7628720998764038
cell_00024.tiff,maunet_ensemble,24,15,14,10,1,0,2,0.9333333333333333,0.5833333333333334,0.7179487179487181,0.5578485574477758,0.717948717948718,0.7770033478736877
cell_00025.png,unet,85,140,13,72,127,0,6,0.09285714285714286,0.15294117647058825,0.11555555555555555,0.08666412512461344,0.11555555555555555,0.7499780058860779
cell_00025.png,nnunet,85,271,18,67,253,0,14,0.06642066420664207,0.21176470588235294,0.10112359550561797,0.07257056437181622,0.10112359550561797,0.7176422476768494
cell_00025.png,sac,85,0,0,85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00025.png,lstmunet,85,436,22,63,414,0,6,0.05045871559633028,0.25882352941176473,0.08445297504798466,0.059909651695881146,0.08445297504798464,0.7093847393989563
cell_00025.png,maunet_resnet50,85,167,29,56,138,0,8,0.17365269461077845,0.3411764705882353,0.23015873015873017,0.17512612257684979,0.23015873015873015,0.7608928084373474
cell_00025.png,maunet_wide,85,187,24,61,163,0,8,0.12834224598930483,0.2823529411764706,0.17647058823529413,0.14487930957008813,0.17647058823529413,0.8209827542304993
cell_00025.png,maunet_ensemble,85,52,32,53,20,0,7,0.6153846153846154,0.3764705882352941,0.46715328467153283,0.37522325724580863,0.46715328467153283,0.8032122850418091
cell_00026.png,unet,38,72,26,12,46,0,5,0.3611111111111111,0.6842105263157895,0.4727272727272728,0.41212783726778895,0.4727272727272727,0.8718088865280151
cell_00026.png,nnunet,38,85,26,12,59,0,4,0.3058823529411765,0.6842105263157895,0.4227642276422765,0.3781123374535786,0.42276422764227645,0.8943811058998108
cell_00026.png,sac,38,0,0,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cell_00026.png,lstmunet,38,258,9,29,249,0,1,0.03488372093023256,0.23684210526315788,0.060810810810810814,0.03460429850462321,0.060810810810810814,0.5690484642982483
cell_00026.png,maunet_resnet50,38,46,35,3,11,0,1,0.7608695652173914,0.9210526315789473,0.8333333333333333,0.7530603309472402,0.8333333333333334,0.9036723971366882
cell_00026.png,maunet_wide,38,54,33,5,21,0,2,0.6111111111111112,0.868421052631579,0.7173913043478262,0.6397896953251051,0.717391304347826,0.8918280601501465
