model,image,false_negative_count,false_positive_count,under_segmentation_count,over_segmentation_count,false_negative_rate,false_positive_rate,under_segmentation_rate,over_segmentation_rate,boundary_f1,gt_num_cells,pred_num_cells,cell_count_error
nnunet,cell_00028.tiff,95,222,0,15,0.8407079646017699,1.9646017699115044,0.0,0.13274336283185842,0,113,240,127
nnunet,cell_00029.tiff,66,216,0,13,0.8148148148148148,2.6666666666666665,0.0,0.16049382716049382,0,81,231,150
nnunet,cell_00030.tiff,24,70,1,2,0.3076923076923077,0.8974358974358975,0.02564102564102564,0.02564102564102564,0,78,124,46
nnunet,cell_00031.tiff,81,110,0,12,0.48502994011976047,0.6586826347305389,0.0,0.0718562874251497,0,167,196,29
nnunet,cell_00032.tiff,72,110,0,14,0.496551724137931,0.7586206896551724,0.0,0.09655172413793103,0,145,183,38
nnunet,cell_00033.tiff,50,90,1,10,0.42735042735042733,0.7692307692307693,0.017094017094017096,0.08547008547008547,0,117,157,40
nnunet,cell_00034.tiff,39,63,2,4,0.3046875,0.4921875,0.03125,0.03125,0,128,152,24
nnunet,cell_00035.tiff,36,69,0,5,0.4235294117647059,0.8117647058823529,0.0,0.058823529411764705,0,85,118,33
nnunet,cell_00036.tiff,69,223,2,19,0.9583333333333334,3.0972222222222223,0.05555555555555555,0.2638888888888889,0,72,226,154
nnunet,cell_00037.tiff,79,204,0,14,0.9518072289156626,2.4578313253012047,0.0,0.1686746987951807,0,83,208,125
nnunet,cell_00038.tiff,77,486,1,21,0.8555555555555555,5.4,0.022222222222222223,0.23333333333333334,0,90,499,409
nnunet,cell_00039.tiff,108,219,0,17,0.7883211678832117,1.5985401459854014,0.0,0.12408759124087591,0,137,248,111
nnunet,cell_00040.png,9,190,0,0,0.4090909090909091,8.636363636363637,0.0,0.0,0,22,203,181
nnunet,cell_00041.png,3,573,0,0,0.2727272727272727,52.09090909090909,0.0,0.0,0,11,581,570
nnunet,cell_00042.png,1,411,0,0,0.09090909090909091,37.36363636363637,0.0,0.0,0,11,421,410
nnunet,cell_00043.png,138,677,5,30,0.41818181818181815,2.0515151515151517,0.03333333333333333,0.09090909090909091,0,330,869,539
nnunet,cell_00044.png,98,1222,9,43,0.5104166666666666,6.364583333333333,0.09375,0.22395833333333334,0,192,1316,1124
nnunet,cell_00045.png,98,680,4,44,0.31921824104234525,2.214983713355049,0.026058631921824105,0.14332247557003258,0,307,889,582
nnunet,cell_00046.png,271,1235,6,55,0.5891304347826087,2.6847826086956523,0.030434782608695653,0.11956521739130435,0,460,1424,964
nnunet,cell_00047.png,208,969,33,64,0.6439628482972136,3.0,0.3653250773993808,0.19814241486068113,0,323,1084,761
nnunet,cell_00048.png,161,1045,0,132,0.4192708333333333,2.7213541666666665,0.0,0.34375,0,384,1268,884
nnunet,cell_00049.png,100,871,6,69,0.26595744680851063,2.3164893617021276,0.031914893617021274,0.18351063829787234,0,376,1147,771
nnunet,cell_00050.png,92,1117,19,41,0.5317919075144508,6.456647398843931,0.21965317919075145,0.23699421965317918,0,173,1198,1025
nnunet,cell_00051.png,94,477,5,40,0.2454308093994778,1.2454308093994777,0.031331592689295036,0.10443864229765012,0,383,766,383
nnunet,cell_00052.png,200,1183,36,87,0.5376344086021505,3.1801075268817205,0.21774193548387097,0.23387096774193547,0,372,1355,983
nnunet,cell_00053.png,170,965,30,72,0.5723905723905723,3.249158249158249,0.26262626262626265,0.24242424242424243,0,297,1092,795
nnunet,cell_00054.png,156,804,9,40,0.4297520661157025,2.2148760330578514,0.05234159779614325,0.11019283746556474,0,363,1011,648
nnunet,cell_00055.png,56,1143,4,20,0.42748091603053434,8.725190839694656,0.061068702290076333,0.15267175572519084,0,131,1218,1087
nnunet,cell_00056.png,67,1050,8,70,0.33668341708542715,5.276381909547739,0.08040201005025126,0.35175879396984927,0,199,1182,983
nnunet,cell_00057.png,54,633,0,43,0.242152466367713,2.8385650224215246,0.0,0.19282511210762332,0,223,802,579
nnunet,cell_00058.png,81,998,11,52,0.40298507462686567,4.965174129353234,0.11940298507462686,0.25870646766169153,0,201,1118,917
nnunet,cell_00059.png,181,1115,11,126,0.42789598108747046,2.6359338061465722,0.05200945626477541,0.2978723404255319,0,423,1357,934
nnunet,cell_00060.png,50,1206,3,31,0.3937007874015748,9.496062992125983,0.047244094488188976,0.2440944881889764,0,127,1283,1156
nnunet,cell_00061.png,173,895,7,31,0.46630727762803237,2.4123989218328843,0.03773584905660377,0.08355795148247978,0,371,1093,722
nnunet,cell_00062.png,31,1241,4,6,0.4246575342465753,17.0,0.1095890410958904,0.0821917808219178,0,73,1283,1210
nnunet,cell_00063.png,92,431,16,45,0.25205479452054796,1.180821917808219,0.09315068493150686,0.1232876712328767,0,365,704,339
nnunet,cell_00064.png,108,1240,8,54,0.43724696356275305,5.020242914979757,0.08097165991902834,0.21862348178137653,0,247,1379,1132
nnunet,cell_00065.png,160,971,0,138,0.367816091954023,2.232183908045977,0.0,0.31724137931034485,0,435,1246,811
nnunet,cell_00066.png,114,606,11,37,0.3140495867768595,1.6694214876033058,0.06611570247933884,0.10192837465564739,0,363,855,492
nnunet,cell_00067.png,109,666,11,53,0.48878923766816146,2.986547085201794,0.11659192825112108,0.23766816143497757,0,223,780,557
nnunet,cell_00068.png,203,1251,27,69,0.5686274509803921,3.504201680672269,0.17086834733893558,0.19327731092436976,0,357,1405,1048
nnunet,cell_00069.png,213,1237,14,55,0.48519362186788156,2.8177676537585423,0.07061503416856492,0.1252847380410023,0,439,1463,1024
nnunet,cell_00070.png,1,35,0,0,0.0625,2.1875,0.0,0.0,0,16,50,34
nnunet,cell_00071.tif,3,239,0,2,0.75,59.75,0.0,0.5,0,4,240,236
nnunet,cell_00072.tif,6,627,1,1,0.8571428571428571,89.57142857142857,0.2857142857142857,0.14285714285714285,0,7,628,621
nnunet,cell_00073.tif,2,469,0,2,1.0,234.5,0.0,1.0,0,2,469,467
nnunet,cell_00074.tif,254,1756,6,3,0.9372693726937269,6.479704797047971,0.05904059040590406,0.01107011070110701,0,271,1773,1502
nnunet,cell_00075.tif,39,54,4,3,0.2727272727272727,0.3776223776223776,0.055944055944055944,0.02097902097902098,0,143,158,15
nnunet,cell_00076.tif,3,15,0,0,0.16666666666666666,0.8333333333333334,0.0,0.0,0,18,30,12
nnunet,cell_00077.tif,34,412,2,11,0.9444444444444444,11.444444444444445,0.1388888888888889,0.3055555555555556,0,36,414,378
nnunet,cell_00078.tif,182,246,14,17,0.978494623655914,1.3225806451612903,0.9139784946236559,0.0913978494623656,0,186,250,64
nnunet,cell_00079.tif,18,42,0,2,0.36,0.84,0.0,0.04,0,50,74,24
nnunet,cell_00080.tif,11,26,0,1,0.3142857142857143,0.7428571428571429,0.0,0.02857142857142857,0,35,50,15
nnunet,cell_00081.tif,26,48,0,2,0.3561643835616438,0.6575342465753424,0.0,0.0273972602739726,0,73,95,22
nnunet,cell_00082.tif,18,48,0,5,0.35294117647058826,0.9411764705882353,0.0,0.09803921568627451,0,51,81,30
nnunet,cell_00083.tif,25,36,1,4,0.4807692307692308,0.6923076923076923,0.038461538461538464,0.07692307692307693,0,52,63,11
nnunet,cell_00084.tif,6,40,0,6,0.14285714285714285,0.9523809523809523,0.0,0.14285714285714285,0,42,76,34
nnunet,cell_00085.tif,5,21,0,1,0.1111111111111111,0.4666666666666667,0.0,0.022222222222222223,0,45,61,16
nnunet,cell_00086.tif,4,32,0,4,0.09302325581395349,0.7441860465116279,0.0,0.09302325581395349,0,43,71,28
nnunet,cell_00087.tif,6,25,1,0,0.14285714285714285,0.5952380952380952,0.047619047619047616,0.0,0,42,61,19
nnunet,cell_00088.tif,10,22,0,0,0.5555555555555556,1.2222222222222223,0.0,0.0,0,18,30,12
nnunet,cell_00089.tif,15,48,0,7,0.30612244897959184,0.9795918367346939,0.0,0.14285714285714285,0,49,82,33
nnunet,cell_00090.tif,6,17,0,0,0.15,0.425,0.0,0.0,0,40,51,11
nnunet,cell_00091.tif,14,53,0,9,0.3783783783783784,1.4324324324324325,0.0,0.24324324324324326,0,37,76,39
nnunet,cell_00092.tif,8,28,0,1,0.4444444444444444,1.5555555555555556,0.0,0.05555555555555555,0,18,38,20
nnunet,cell_00093.tif,3,19,0,1,0.1875,1.1875,0.0,0.0625,0,16,32,16
nnunet,cell_00094.tif,1,6,0,0,0.07142857142857142,0.42857142857142855,0.0,0.0,0,14,19,5
nnunet,cell_00095.tif,4,20,0,0,0.4,2.0,0.0,0.0,0,10,26,16
nnunet,cell_00096.tif,13,45,0,7,0.28888888888888886,1.0,0.0,0.15555555555555556,0,45,77,32
nnunet,cell_00097.tif,9,37,0,6,0.2727272727272727,1.121212121212121,0.0,0.18181818181818182,0,33,61,28
